trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 1.0806392777072785e-30}",25,2,30.181707094787665,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 6.554408540191793e-31}",25,-17,69.72573442601598,"{0: 42, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 3.975449735908647e-31}",30,-20,84.58646726848336,"{0: 50, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 2.411232150975086e-31}",25,11,25.66534654493037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 1.462486227251231e-31}",25,-2,31.659319103707773,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 8.870427362353295e-32}",25,-44,67.89328188678014,"{0: 68, 1: 0, 2: 0, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 5.380186160021138e-32}",35,-6,76.27590150385117,"{0: 41, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 3.263247861014401e-32}",25,2,20.576495817459175,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 1.9792598779469045e-32}",20,13,13.06408648017769,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 1.2004817995138824e-32}",20,13,14.739583769579154,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 7.281290178321643e-33}",20,14,10.819904869742953,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 4.416325735416545e-33}",20,5,15.470196124494901,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 2.6786369618080778e-33}",25,13,25.271629275346317,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 1.6246754435760975e-33}",20,4,30.39319448721833,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 9.854154686111257e-34}",30,13,21.70159167169345,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 5.976846942677399e-34}",20,-4,18.946716229240305,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 3.6251409191435593e-34}",25,5,37.28358383981764,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 2.1987591132394053e-34}",25,9,27.094825444898945,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 1.3336148155022614e-34}",25,3,33.970351939668916,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 8.088782738491285e-35}",25,-24,84.17601929133367,"{0: 49, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 4.906094730649281e-35}",25,9,27.348633710577687,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 2.9756968735933825e-35}",25,-9,58.9938322496484,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 1.8048513878454153e-35}",25,-18,59.39446751006815,"{0: 42, 1: 0, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 1.0946977029531417e-35}",20,12,16.03199216812409,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 6.639677199580735e-36}",25,-4,45.5124340635987,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 4.027167792140633e-36}",20,-8,43.562906053006415,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 2.4426007377405277e-36}",20,6,22.222549548443393,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 1.4815122368763274e-36}",30,22,9.189769779360912,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 8.985825944049381e-37}",30,6,22.836211671894247,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 5.450178937907168e-37}",20,-12,51.228434094796505,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 3.3057006267607343e-37}",20,-8,47.18277145653486,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 2.005008781961654e-37}",25,11,25.96665636676244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 1.2160992992528256e-37}",20,13,13.489250687184171,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 7.376015102518876e-38}",20,-3,-0.17581254933750667,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 4.4737793061811207e-38}",30,16,21.891797097029436,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 2.7134843139867624e-38}",20,-18,45.070239005953674,"{0: 37, 1: 0, 2: 0, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 1.6458114310822737e-38}",25,1,42.01000370141584,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 9.982350930569248e-39}",20,-8,44.91822271211447,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 6.054601895401186e-39}",25,17,16.987040728213618,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
